SCINAME,O,U,F,M,E,S,N,W,H,D,Q
Edolisoma ceramense,0,0,0,0,0,1,0,0,0,0,0
Edolisoma coerulescens,0,0,0,0,0,1,0,0,0,0,0
Edolisoma dohertyi,0,0,0,0,0,1,0,0,0,0,0
Edolisoma holopolium,1,0,0,0,0,0,0,0,0,0,0
Edolisoma incertum,1,0,0,0,0,0,0,0,0,0,0
Edolisoma melas,1,0,0,0,0,0,0,0,0,0,0
Edolisoma mindanense,0,0,0,0,0,1,0,0,0,0,0
Edolisoma montanum,1,0,0,0,0,0,0,0,0,0,0
Edolisoma morio,0,0,0,0,0,1,0,0,0,0,0
Edolisoma ostentum,0,0,0,0,0,1,0,0,0,0,0
Edolisoma parvulum,0,0,0,0,0,1,0,0,0,0,0
Edolisoma remotum,1,0,0,0,0,0,0,0,0,0,0
Edolisoma salomonis,1,0,0,0,0,0,0,0,0,0,0
Edolisoma schisticeps,1,0,0,0,0,0,0,0,0,0,0
Edolisoma tenuirostre,1,0,0,0,0,0,0,0,0,0,0
Elaphrornis palliseri,0,0,0,0,0,1,0,0,0,0,0
Emarginata schlegelii,0,0,1,0,0,0,0,0,0,0,0
Emarginata sinuata,0,0,1,0,0,0,0,0,0,0,0
Emarginata tractrac,0,0,1,0,0,0,0,0,0,0,0
Enicurus ruficapillus,0,0,0,0,0,1,0,0,0,0,0
Entomodestes coracinus,0,0,0,1,0,0,0,0,0,0,0
Entomodestes leucotis,0,0,0,1,0,0,0,0,0,0,0
Eophona personata,0,0,0,0,1,0,0,0,0,0,0
Erithacus rubecula,0,1,0,0,0,0,0,0,0,0,0
Erythrogenys erythrocnemis,0,0,0,0,0,1,0,0,0,0,0
Erythrogenys hypoleucos,0,0,0,0,0,1,0,0,0,0,0
Erythrogenys swinhoei,0,0,0,0,0,1,0,0,0,0,0
Eumyias additus,0,0,0,0,0,1,0,0,0,0,0
Eumyias albicaudatus,0,0,0,0,0,1,0,0,0,0,0
Eumyias indigo,0,0,0,0,0,1,0,0,0,0,0
Eumyias panayensis,0,0,0,0,0,1,0,0,0,0,0
Euphonia affinis,0,0,0,1,0,0,0,0,0,0,0
Euphonia cayennensis,0,0,0,1,0,0,0,0,0,0,0
Euphonia chlorotica,0,0,0,1,0,0,0,0,0,0,0
Euphonia cyanocephala,0,0,0,1,0,0,0,0,0,0,0
Euphonia elegantissima,0,0,0,1,0,0,0,0,0,0,0
Euphonia finschi,0,0,0,1,0,0,0,0,0,0,0
Euphonia fulvicrissa,0,0,0,1,0,0,0,0,0,0,0
Euphonia gouldi,0,0,0,1,0,0,0,0,0,0,0
Euphonia hirundinacea,0,0,0,1,0,0,0,0,0,0,0
Euphonia laniirostris,0,0,0,1,0,0,0,0,0,0,0
Euphonia luteicapilla,0,0,0,1,0,0,0,0,0,0,0
Euphonia minuta,0,0,0,1,0,0,0,0,0,0,0
Euphonia musica,0,0,0,1,0,0,0,0,0,0,0
Euphonia pectoralis,0,0,0,1,0,0,0,0,0,0,0
Euphonia plumbea,0,0,0,1,0,0,0,0,0,0,0
Euphonia rufiventris,0,0,0,1,0,0,0,0,0,0,0
Euphonia violacea,0,0,0,1,0,0,0,0,0,0,0
Euphonia xanthogaster,0,0,0,1,0,0,0,0,0,0,0
Euptilotus eutilotus,0,0,0,0,0,1,0,0,0,0,0
Eurillas ansorgei,0,0,1,0,0,0,0,0,0,0,0
Eurillas curvirostris,0,0,1,0,0,0,0,0,0,0,0
Eurillas gracilis,0,0,1,0,0,0,0,0,0,0,0
Eurillas latirostris,0,0,1,0,0,0,0,0,0,0,0
Eurillas virens,0,0,1,0,0,0,0,0,0,0,0
Falcipennis canadensis,0,0,0,1,0,0,0,0,0,0,0
Falcipennis falcipennis,0,1,0,0,0,0,0,0,0,0,0
Ficedula basilanica,0,0,0,0,0,1,0,0,0,0,0
Ficedula buruensis,0,0,0,0,0,1,0,0,0,0,0
Ficedula crypta,0,0,0,0,0,1,0,0,0,0,0
Ficedula disposita,0,0,0,0,0,1,0,0,0,0,0
Ficedula dumetoria,0,0,0,0,0,1,0,0,0,0,0
Ficedula harterti,0,0,0,0,0,1,0,0,0,0,0
Ficedula luzoniensis,0,0,0,0,0,1,0,0,0,0,0
Ficedula nigrorufa,0,0,0,0,0,1,0,0,0,0,0
Ficedula platenae,0,0,0,0,0,1,0,0,0,0,0
Ficedula rufigula,0,0,0,0,0,1,0,0,0,0,0
Ficedula timorensis,0,0,0,0,0,1,0,0,0,0,0
Francolinus pictus,0,0,0,0,0,1,0,0,0,0,0
Francolinus pintadeanus,0,0,0,0,0,1,0,0,0,0,0
Fraseria cinerascens,0,0,1,0,0,0,0,0,0,0,0
Fraseria ocreata,0,0,1,0,0,0,0,0,0,0,0
Fringilla coelebs,0,1,0,0,0,0,0,0,0,0,0
Fringilla montifringilla,0,1,0,0,0,0,0,0,0,0,0
Fulvetta formosana,0,0,0,0,0,1,0,0,0,0,0
Fulvetta ludlowi,0,0,0,0,0,0,0,0,1,0,0
Galloperdix lunulata,0,0,0,0,0,1,0,0,0,0,0
Gallus lafayettii,0,0,0,0,0,1,0,0,0,0,0
Gallus sonneratii,0,0,0,0,0,1,0,0,0,0,0
Gallus varius,0,0,0,0,0,1,0,0,0,0,0
Gampsorhynchus torquatus,0,0,0,0,0,1,0,0,0,0,0
Garrulax annamensis,0,0,0,0,0,1,0,0,0,0,0
Garrulax bicolor,0,0,0,0,0,1,0,0,0,0,0
Garrulax castanotis,0,0,0,0,0,1,0,0,0,0,0
Garrulax merulinus,0,0,0,0,0,1,0,0,0,0,0
Garrulax milleti,0,0,0,0,0,1,0,0,0,0,0
Garrulax palliatus,0,0,0,0,0,1,0,0,0,0,0
Garrulax rufifrons,0,0,0,0,0,1,0,0,0,0,0
Garrulax strepitans,0,0,0,0,0,1,0,0,0,0,0
Garrulax taewanus,0,0,0,0,0,1,0,0,0,0,0
Geocolaptes olivaceus,0,0,1,0,0,0,0,0,0,0,0
Geokichla cinerea,0,0,0,0,0,1,0,0,0,0,0
Geokichla crossleyi,0,0,1,0,0,0,0,0,0,0,0
Geokichla dohertyi,0,0,0,0,0,1,0,0,0,0,0
Geokichla erythronota,0,0,0,0,0,1,0,0,0,0,0
Geokichla gurneyi,0,0,1,0,0,0,0,0,0,0,0
Geokichla guttata,0,0,1,0,0,0,0,0,0,0,0
Geokichla interpres,0,0,0,0,0,1,0,0,0,0,0
Geokichla oberlaenderi,0,0,1,0,0,0,0,0,0,0,0
Geokichla peronii,0,0,0,0,0,1,0,0,0,0,0
Geokichla piaggiae,0,0,1,0,0,0,0,0,0,0,0
Geokichla princei,0,0,1,0,0,0,0,0,0,0,0
Geokichla spiloptera,0,0,0,0,0,1,0,0,0,0,0
Graminicola striatus,0,0,0,0,0,1,0,0,0,0,0
Grammatoptila striata,0,0,0,0,0,0,0,0,1,0,0
Gymnorhinus cyanocephalus,0,0,0,1,0,0,0,0,0,0,0
Haematortyx sanguiniceps,0,0,0,0,0,1,0,0,0,0,0
Haemorhous cassinii,0,0,0,1,0,0,0,0,0,0,0
Haemorhous mexicanus,0,0,0,1,0,0,0,0,0,0,0
Haemorhous purpureus,0,0,0,1,0,0,0,0,0,0,0
Heinrichia calligyna,0,0,0,0,0,1,0,0,0,0,0
Hemicircus canente,0,0,0,0,0,1,0,0,0,0,0
Hemicircus concretus,0,0,0,0,0,1,0,0,0,0,0
Hemixos castanonotus,0,0,0,0,0,1,0,0,0,0,0
Hemixos cinereus,0,0,0,0,0,1,0,0,0,0,0
Hesperiphona vespertina,0,0,0,1,0,0,0,0,0,0,0
Heterophasia auricularis,0,0,0,0,0,1,0,0,0,0,0
Heterophasia capistrata,0,0,0,0,0,0,0,0,1,0,0
Heterophasia melanoleuca,0,0,0,0,0,1,0,0,0,0,0
Himatione sanguinea,0,0,0,1,0,0,0,0,0,0,0
Horornis diphone,0,0,0,0,1,0,0,0,0,0,0
Horornis parens,1,0,0,0,0,0,0,0,0,0,0
Horornis seebohmi,0,0,0,0,0,1,0,0,0,0,0
Hypsipetes amaurotis,0,0,0,0,1,0,0,0,0,0,0
Hypsipetes everetti,0,0,0,0,0,1,0,0,0,0,0
Hypsipetes madagascariensis,0,0,1,0,0,0,0,0,0,0,0
Hypsipetes philippinus,0,0,0,0,0,1,0,0,0,0,0
Hypsipetes rufigularis,0,0,0,0,0,1,0,0,0,0,0
Hypsipetes siquijorensis,0,0,0,0,0,1,0,0,0,0,0
Illadopsis albipectus,0,0,1,0,0,0,0,0,0,0,0
Illadopsis cleaveri,0,0,1,0,0,0,0,0,0,0,0
Illadopsis fulvescens,0,0,1,0,0,0,0,0,0,0,0
Illadopsis puveli,0,0,1,0,0,0,0,0,0,0,0
Illadopsis pyrrhoptera,0,0,1,0,0,0,0,0,0,0,0
Illadopsis rufescens,0,0,1,0,0,0,0,0,0,0,0
Illadopsis rufipennis,0,0,1,0,0,0,0,0,0,0,0
Illadopsis turdina,0,0,1,0,0,0,0,0,0,0,0
Iole charlottae,0,0,0,0,0,1,0,0,0,0,0
Iole palawanensis,0,0,0,0,0,1,0,0,0,0,0
Iole propinqua,0,0,0,0,0,1,0,0,0,0,0
Iole viridescens,0,0,0,0,0,1,0,0,0,0,0
Ixonotus guttatus,0,0,1,0,0,0,0,0,0,0,0
Ixoreus naevius,0,0,0,1,0,0,0,0,0,0,0
Ixos malaccensis,0,0,0,0,0,1,0,0,0,0,0
Ixos virescens,0,0,0,0,0,1,0,0,0,0,0
Jynx ruficollis,0,0,1,0,0,0,0,0,0,0,0
Lagopus leucura,0,0,0,1,0,0,0,0,0,0,0
Lalage atrovirens,1,0,0,0,0,0,0,0,0,0,0
Lalage fimbriata,0,0,0,0,0,1,0,0,0,0,0
Lalage leucomela,1,0,0,0,0,0,0,0,0,0,0
Lalage leucopyga,1,0,0,0,0,0,0,0,0,0,0
Lalage leucopygialis,0,0,0,0,0,1,0,0,0,0,0
Lalage maculosa,1,0,0,0,0,0,0,0,0,0,0
Lalage melanoleuca,0,0,0,0,0,1,0,0,0,0,0
Lalage melanoptera,0,0,0,0,0,1,0,0,0,0,0
Lalage nigra,0,0,0,0,0,1,0,0,0,0,0
Lalage polioptera,0,0,0,0,0,1,0,0,0,0,0
Lalage sueurii,0,0,0,0,0,1,0,0,0,0,0
Lalage tricolor,1,0,0,0,0,0,0,0,0,0,0
Laniellus albonotatus,0,0,0,0,0,1,0,0,0,0,0
Laniellus langbianis,0,0,0,0,0,1,0,0,0,0,0
Laticilla burnesii,0,0,0,0,0,0,0,1,0,0,0
Leuconotopicus albolarvatus,0,0,0,1,0,0,0,0,0,0,0
Leuconotopicus arizonae,0,0,0,1,0,0,0,0,0,0,0
Leuconotopicus borealis,0,0,0,1,0,0,0,0,0,0,0
Leuconotopicus fumigatus,0,0,0,1,0,0,0,0,0,0,0
Leuconotopicus stricklandi,0,0,0,1,0,0,0,0,0,0,0
Leuconotopicus villosus,0,0,0,1,0,0,0,0,0,0,0
Leucosticte tephrocotis,0,0,0,1,0,0,0,0,0,0,0
Linurgus olivaceus,0,0,1,0,0,0,0,0,0,0,0
Liocichla bugunorum,0,0,0,0,0,0,0,0,1,0,0
Liocichla omeiensis,0,0,0,0,0,0,0,0,0,1,0
Liocichla ripponi,0,0,0,0,0,1,0,0,0,0,0
Liocichla steerii,0,0,0,0,0,1,0,0,0,0,0
Lobotos oriolinus,0,0,1,0,0,0,0,0,0,0,0
Locustella accentor,0,0,0,0,0,1,0,0,0,0,0
Locustella alishanensis,0,0,0,0,0,1,0,0,0,0,0
Locustella montis,0,0,0,0,0,1,0,0,0,0,0
Lophophanes cristatus,0,1,0,0,0,0,0,0,0,0,0
Lophophorus impejanus,0,0,0,0,0,0,0,0,1,0,0
Lophophorus lhuysii,0,0,0,0,0,0,0,0,0,1,0
Lophura bulweri,0,0,0,0,0,1,0,0,0,0,0
Lophura diardi,0,0,0,0,0,1,0,0,0,0,0
Lophura edwardsi,0,0,0,0,0,1,0,0,0,0,0
Lophura erythrophthalma,0,0,0,0,0,1,0,0,0,0,0
Lophura ignita,0,0,0,0,0,1,0,0,0,0,0
Lophura inornata,0,0,0,0,0,1,0,0,0,0,0
Lophura swinhoii,0,0,0,0,0,1,0,0,0,0,0
Loxia pytyopsittacus,0,1,0,0,0,0,0,0,0,0,0
Loxioides bailleui,0,0,0,1,0,0,0,0,0,0,0
Loxops caeruleirostris,0,0,0,1,0,0,0,0,0,0,0
Loxops coccineus,0,0,0,1,0,0,0,0,0,0,0
Machlolophus holsti,0,0,0,0,0,1,0,0,0,0,0
Macronus ptilosus,0,0,0,0,0,1,0,0,0,0,0
Macronus striaticeps,0,0,0,0,0,1,0,0,0,0,0
Malacocincla sepiaria,0,0,0,0,0,1,0,0,0,0,0
Malacopteron affine,0,0,0,0,0,1,0,0,0,0,0
Malacopteron albogulare,0,0,0,0,0,1,0,0,0,0,0
Malacopteron cinereum,0,0,0,0,0,1,0,0,0,0,0
Malacopteron magnirostre,0,0,0,0,0,1,0,0,0,0,0
Malacopteron magnum,0,0,0,0,0,1,0,0,0,0,0
Malacopteron palawanense,0,0,0,0,0,1,0,0,0,0,0
Malia grata,0,0,0,0,0,1,0,0,0,0,0
Malindangia mcgregori,0,0,0,0,0,1,0,0,0,0,0
Margaroperdix madagarensis,0,0,1,0,0,0,0,0,0,0,0
Meiglyptes jugularis,0,0,0,0,0,1,0,0,0,0,0
Meiglyptes tristis,0,0,0,0,0,1,0,0,0,0,0
Meiglyptes tukki,0,0,0,0,0,1,0,0,0,0,0
Melaenornis ardesiacus,0,0,1,0,0,0,0,0,0,0,0
Melaenornis brunneus,0,0,1,0,0,0,0,0,0,0,0
Melaenornis chocolatinus,0,0,1,0,0,0,0,0,0,0,0
Melaenornis edolioides,0,0,1,0,0,0,0,0,0,0,0
Melaenornis fischeri,0,0,1,0,0,0,0,0,0,0,0
Melaenornis pammelaina,0,0,1,0,0,0,0,0,0,0,0
Melaenornis silens,0,0,1,0,0,0,0,0,0,0,0
Melamprosops phaeosoma,0,0,0,1,0,0,0,0,0,0,0
Melanerpes aurifrons,0,0,0,1,0,0,0,0,0,0,0
Melanerpes cactorum,0,0,0,1,0,0,0,0,0,0,0
Melanerpes candidus,0,0,0,1,0,0,0,0,0,0,0
Melanerpes carolinus,0,0,0,1,0,0,0,0,0,0,0
Melanerpes chrysauchen,0,0,0,1,0,0,0,0,0,0,0
Melanerpes chrysogenys,0,0,0,1,0,0,0,0,0,0,0
Melanerpes cruentatus,0,0,0,1,0,0,0,0,0,0,0
Melanerpes erythrocephalus,0,0,0,1,0,0,0,0,0,0,0
Melanerpes flavifrons,0,0,0,1,0,0,0,0,0,0,0
Melanerpes formicivorus,0,0,0,1,0,0,0,0,0,0,0
Melanerpes hoffmannii,0,0,0,1,0,0,0,0,0,0,0
Melanerpes hypopolius,0,0,0,1,0,0,0,0,0,0,0
Melanerpes lewis,0,0,0,1,0,0,0,0,0,0,0
Melanerpes portoricensis,0,0,0,1,0,0,0,0,0,0,0
Melanerpes pucherani,0,0,0,1,0,0,0,0,0,0,0
Melanerpes pygmaeus,0,0,0,1,0,0,0,0,0,0,0
Melanerpes radiolatus,0,0,0,1,0,0,0,0,0,0,0
Melanerpes rubricapillus,0,0,0,1,0,0,0,0,0,0,0
Melanerpes striatus,0,0,0,1,0,0,0,0,0,0,0
Melanerpes superciliaris,0,0,0,1,0,0,0,0,0,0,0
Melanerpes uropygialis,0,0,0,1,0,0,0,0,0,0,0
Melaniparus afer,0,0,1,0,0,0,0,0,0,0,0
Melaniparus albiventris,0,0,1,0,0,0,0,0,0,0,0
Melaniparus carpi,0,0,1,0,0,0,0,0,0,0,0
Melaniparus cinerascens,0,0,1,0,0,0,0,0,0,0,0
Melaniparus fasciiventer,0,0,1,0,0,0,0,0,0,0,0
Melaniparus fringillinus,0,0,1,0,0,0,0,0,0,0,0
Melaniparus funereus,0,0,1,0,0,0,0,0,0,0,0
Melaniparus griseiventris,0,0,1,0,0,0,0,0,0,0,0
Melaniparus guineensis,0,0,1,0,0,0,0,0,0,0,0
Melaniparus leucomelas,0,0,1,0,0,0,0,0,0,0,0
Melaniparus leuconotus,0,0,1,0,0,0,0,0,0,0,0
Melaniparus niger,0,0,1,0,0,0,0,0,0,0,0
Melaniparus pallidiventris,0,0,1,0,0,0,0,0,0,0,0
Melaniparus rufiventris,0,0,1,0,0,0,0,0,0,0,0
Melaniparus thruppi,0,0,1,0,0,0,0,0,0,0,0
Meleagris gallopavo,0,0,0,1,0,0,0,0,0,0,0
Meleagris ocellata,0,0,0,1,0,0,0,0,0,0,0
Microtarsus melanoleucos,0,0,0,0,0,1,0,0,0,0,0
Mixornis bornensis,0,0,0,0,0,1,0,0,0,0,0
Mixornis flavicollis,0,0,0,0,0,1,0,0,0,0,0
Monticola angolensis,0,0,1,0,0,0,0,0,0,0,0
Monticola brevipes,0,0,1,0,0,0,0,0,0,0,0
Monticola explorator,0,0,1,0,0,0,0,0,0,0,0
Monticola rupestris,0,0,1,0,0,0,0,0,0,0,0
Monticola sharpei,0,0,1,0,0,0,0,0,0,0,0
Moupinia poecilotis,0,0,0,0,0,0,0,0,0,1,0
Mulleripicus fulvus,0,0,0,0,0,1,0,0,0,0,0
Mulleripicus funebris,0,0,0,0,0,1,0,0,0,0,0
Muscicapa adusta,0,0,1,0,0,0,0,0,0,0,0
Muscicapa aquatica,0,0,1,0,0,0,0,0,0,0,0
Muscicapa cassini,0,0,1,0,0,0,0,0,0,0,0
Muscicapa dauurica,0,0,0,0,1,0,0,0,0,0,0
Muscicapa ferruginea,0,0,0,0,0,1,0,0,1,1,0
Muscicapa gambagae,0,0,1,0,0,0,0,0,0,0,0
Muscicapa sethsmithi,0,0,1,0,0,0,0,0,0,0,0
Myadestes coloratus,0,0,0,1,0,0,0,0,0,0,0
Myadestes elisabeth,0,0,0,1,0,0,0,0,0,0,0
Myadestes genibarbis,0,0,0,1,0,0,0,0,0,0,0
Myadestes melanops,0,0,0,1,0,0,0,0,0,0,0
Myadestes obscurus,0,0,0,1,0,0,0,0,0,0,0
Myadestes occidentalis,0,0,0,1,0,0,0,0,0,0,0
Myadestes ralloides,0,0,0,1,0,0,0,0,0,0,0
Myadestes townsendi,0,0,0,1,0,0,0,0,0,0,0
Myadestes unicolor,0,0,0,1,0,0,0,0,0,0,0
Myiomela diana,0,0,0,0,0,1,0,0,0,0,0
Myophonus borneensis,0,0,0,0,0,1,0,0,0,0,0
Myophonus castaneus,0,0,0,0,0,1,0,0,0,0,0
Myophonus glaucinus,0,0,0,0,0,1,0,0,0,0,0
Myophonus melanurus,0,0,0,0,0,1,0,0,0,0,0
Myrmecocichla aethiops,0,0,1,0,0,0,0,0,0,0,0
Myrmecocichla arnotti,0,0,1,0,0,0,0,0,0,0,0
Myrmecocichla formicivora,0,0,1,0,0,0,0,0,0,0,0
Myrmecocichla melaena,0,0,1,0,0,0,0,0,0,0,0
Myrmecocichla nigra,0,0,1,0,0,0,0,0,0,0,0
Myrmecocichla tholloni,0,0,1,0,0,0,0,0,0,0,0
Neocossyphus poensis,0,0,1,0,0,0,0,0,0,0,0
Neocossyphus rufus,0,0,1,0,0,0,0,0,0,0,0
Neolestes torquatus,0,0,1,0,0,0,0,0,0,0,0
Neosuthora davidiana,0,0,0,0,0,1,0,0,0,0,0
Nesoctites micromegas,0,0,0,1,0,0,0,0,0,0,0
Niltava vivida,0,0,0,0,0,1,0,0,1,1,0
Nucifraga columbiana,0,0,0,1,0,0,0,0,0,0,0
Oenanthe albifrons,0,0,1,0,0,0,0,0,0,0,0
Oenanthe albonigra,0,0,0,0,0,0,0,1,0,0,0
Oenanthe bottae,0,0,0,0,0,0,0,1,0,0,0
Oenanthe dubia,0,0,1,0,0,0,0,0,0,0,0
Oenanthe familiaris,0,0,1,0,0,0,0,0,0,0,0
Oenanthe finschii,0,0,0,0,0,0,0,1,0,0,0
Oenanthe moesta,0,0,1,0,0,0,0,0,0,0,0
Oenanthe phillipsi,0,0,1,0,0,0,0,0,0,0,0
Oenanthe pileata,0,0,1,0,0,0,0,0,0,0,0
Oenanthe scotocerca,0,0,1,0,0,0,0,0,0,0,0
Oreomystis bairdi,0,0,0,1,0,0,0,0,0,0,0
Palmeria dolei,0,0,0,1,0,0,0,0,0,0,0
Pardaliparus amabilis,0,0,0,0,0,1,0,0,0,0,0
Pardaliparus elegans,0,0,0,0,0,1,0,0,0,0,0
Paroreomyza montana,0,0,0,1,0,0,0,0,0,0,0
Pavo muticus,0,0,0,0,0,1,0,0,0,0,0
Peliperdix albogularis,0,0,1,0,0,0,0,0,0,0,0
Peliperdix coqui,0,0,1,0,0,0,0,0,0,0,0
Peliperdix lathami,0,0,1,0,0,0,0,0,0,0,0
Peliperdix schlegelii,0,0,1,0,0,0,0,0,0,0,0
Pellorneum albiventre,0,0,0,0,0,1,0,0,0,0,0
Pellorneum capistratum,0,0,0,0,0,1,0,0,0,0,0
Perdicula asiatica,0,0,0,0,0,1,0,0,0,0,0
Pericrocotus albifrons,0,0,0,0,0,1,0,0,0,0,0
Pericrocotus erythropygius,0,0,0,0,0,1,0,0,0,0,0
Pericrocotus flammeus,0,0,0,0,0,1,0,0,0,0,0
Pericrocotus igneus,0,0,0,0,0,1,0,0,0,0,0
Pericrocotus lansbergei,0,0,0,0,0,1,0,0,0,0,0
Pericrocotus miniatus,0,0,0,0,0,1,0,0,0,0,0
Pericrocotus tegimae,0,0,0,0,1,0,0,0,0,0,0
Perisoreus canadensis,0,0,0,1,0,0,0,0,0,0,0
Perisoreus internigrans,0,0,0,0,0,0,0,0,0,1,0
Phasianus versicolor,0,0,0,0,1,0,0,0,0,0,0
Phoenicurus erythronotus,0,0,0,0,0,0,1,0,0,0,0
Phoenicurus moussieri,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus albigula,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus albigularis,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus baumanni,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus cabanisi,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus cerviniventris,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus debilis,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus fischeri,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus flavostriatus,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus fulviventris,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus hypochloris,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus icterinus,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus poensis,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus strepitans,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus terrestris,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus xavieri,0,0,1,0,0,0,0,0,0,0,0
Phylloscopus budongoensis,0,0,1,0,0,0,0,0,0,0,0
Phylloscopus calciatilis,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus cebuensis,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus forresti,0,0,0,0,0,0,0,0,0,1,0
Phylloscopus grammiceps,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus hainanus,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus herberti,0,0,1,0,0,0,0,0,0,0,0
Phylloscopus laetus,0,0,1,0,0,0,0,0,0,0,0
Phylloscopus laurae,0,0,1,0,0,0,0,0,0,0,0
Phylloscopus montis,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus ogilviegranti,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus olivaceus,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus poliocephalus,1,0,0,0,0,0,0,0,0,0,0
Phylloscopus presbytes,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus ruficapilla,0,0,1,0,0,0,0,0,0,0,0
Phylloscopus sarasinorum,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus trivirgatus,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus umbrovirens,0,0,1,0,0,0,0,0,0,0,0
Phylloscopus xanthoschistos,0,0,0,0,0,0,0,0,1,0,0
Pica asirensis,0,0,0,0,0,0,0,1,0,0,0
Pica hudsonia,0,0,0,1,0,0,0,0,0,0,0
Pica mauritanica,0,0,1,0,0,0,0,0,0,0,0
Picoides arcticus,0,0,0,1,0,0,0,0,0,0,0
Piculus aurulentus,0,0,0,1,0,0,0,0,0,0,0
Piculus callopterus,0,0,0,1,0,0,0,0,0,0,0
Piculus chrysochloros,0,0,0,1,0,0,0,0,0,0,0
Piculus flavigula,0,0,0,1,0,0,0,0,0,0,0
Piculus leucolaemus,0,0,0,1,0,0,0,0,0,0,0
Piculus litae,0,0,0,1,0,0,0,0,0,0,0
Picumnus albosquamatus,0,0,0,1,0,0,0,0,0,0,0
Picumnus aurifrons,0,0,0,1,0,0,0,0,0,0,0
Picumnus castelnau,0,0,0,1,0,0,0,0,0,0,0
Picumnus cirratus,0,0,0,1,0,0,0,0,0,0,0
Picumnus dorbignyanus,0,0,0,1,0,0,0,0,0,0,0
Picumnus exilis,0,0,0,1,0,0,0,0,0,0,0
Picumnus lafresnayi,0,0,0,1,0,0,0,0,0,0,0
Picumnus minutissimus,0,0,0,1,0,0,0,0,0,0,0
Picumnus nebulosus,0,0,0,1,0,0,0,0,0,0,0
Picumnus olivaceus,0,0,0,1,0,0,0,0,0,0,0
Picumnus pumilus,0,0,0,1,0,0,0,0,0,0,0
Picumnus pygmaeus,0,0,0,1,0,0,0,0,0,0,0
Picumnus rufiventris,0,0,0,1,0,0,0,0,0,0,0
Picumnus sclateri,0,0,0,1,0,0,0,0,0,0,0
Picumnus spilogaster,0,0,0,1,0,0,0,0,0,0,0
Picumnus squamulatus,0,0,0,1,0,0,0,0,0,0,0
Picumnus steindachneri,0,0,0,1,0,0,0,0,0,0,0
Picumnus subtilis,0,0,0,1,0,0,0,0,0,0,0
Picumnus temminckii,0,0,0,1,0,0,0,0,0,0,0
Picumnus varzeae,0,0,0,1,0,0,0,0,0,0,0
Picus awokera,0,0,0,0,1,0,0,0,0,0,0
Picus erythropygius,0,0,0,0,0,1,0,0,0,0,0
Picus puniceus,0,0,0,0,0,1,0,0,0,0,0
Picus rabieri,0,0,0,0,0,1,0,0,0,0,0
Picus sharpei,0,1,0,0,0,0,0,0,0,0,0
Picus vaillantii,0,0,1,0,0,0,0,0,0,0,0
Picus viridanus,0,0,0,0,0,1,0,0,0,0,0
Picus vittatus,0,0,0,0,0,1,0,0,0,0,0
Pinarochroa sordida,0,0,1,0,0,0,0,0,0,0,0
Platysmurus leucopterus,0,0,0,0,0,1,0,0,0,0,0
Podoces biddulphi,0,0,0,0,0,0,1,0,0,0,0
Poecile atricapillus,0,0,0,1,0,0,0,0,0,0,0
Poecile carolinensis,0,0,0,1,0,0,0,0,0,0,0
Poecile davidi,0,0,0,0,0,0,0,0,0,1,0
Poecile gambeli,0,0,0,1,0,0,0,0,0,0,0
Poecile hudsonicus,0,0,0,1,0,0,0,0,0,0,0
Poecile hyrcanus,0,0,0,0,0,0,0,1,0,0,0
Poecile rufescens,0,0,0,1,0,0,0,0,0,0,0
Poecile sclateri,0,0,0,1,0,0,0,0,0,0,0
Pogonocichla stellata,0,0,1,0,0,0,0,0,0,0,0
Poliolophus urostictus,0,0,0,0,0,1,0,0,0,0,0
Polyplectron chalcurum,0,0,0,0,0,1,0,0,0,0,0
Polyplectron germaini,0,0,0,0,0,1,0,0,0,0,0
Polyplectron inopinatum,0,0,0,0,0,1,0,0,0,0,0
Polyplectron katsumatae,0,0,0,0,0,1,0,0,0,0,0
Polyplectron malacense,0,0,0,0,0,1,0,0,0,0,0
Polyplectron napoleonis,0,0,0,0,0,1,0,0,0,0,0
